mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.0,0.9,4.467,2.88,0.31,0.0,7.657,1.65,0.0
0.115,0.95,3.903,0.607,0.278,0.049,4.837,1.385,0.0
0.042,0.975,3.754,0.43,0.224,0.001,4.408,1.638,0.0
0.0,1.0,2.921,0.623,0.012,0.0,3.556,1.089,0.0
0.053,0.975,2.687,0.394,0.261,0.002,3.345,1.385,0.0
0.059,0.975,4.706,0.487,0.122,0.066,5.38,0.784,0.0
0.0,1.0,4.567,1.525,0.007,0.0,6.099,8.122,0.0
0.0,1.0,5.233,0.711,0.005,0.0,5.948,0.838,0.0
0.091,0.975,8.158,0.641,0.277,0.027,9.104,0.614,0.0
0.143,0.95,5.055,1.181,0.502,0.006,6.743,1.535,0.0
0.077,0.95,5.374,1.035,0.188,0.067,6.664,1.051,0.0
0.053,0.975,5.729,0.511,0.124,0.063,6.427,0.845,0.0
0.043,0.975,3.906,0.229,0.202,0.009,4.346,0.949,0.0
0.03,1.0,5.935,0.412,0.005,0.0,6.353,1.233,0.0
0.0,1.0,3.224,1.211,0.001,0.0,4.436,0.689,0.0
0.033,1.0,3.998,0.565,0.0,0.0,4.564,2.9,0.0
0.0,1.0,4.294,1.037,0.0,0.0,5.331,0.858,0.0
0.0,1.0,9.068,0.413,0.0,0.0,9.481,0.63,0.0
0.0,1.0,4.068,1.866,0.002,0.0,5.936,0.526,0.0
0.0,1.0,3.085,1.547,0.0,0.0,4.632,0.476,0.0
0.093,0.925,3.19,0.709,0.917,0.098,4.914,1.481,0.0
0.083,0.95,2.883,2.04,0.369,0.034,5.326,1.034,0.0
0.7,0.875,3.649,2.496,0.604,0.031,6.78,0.629,0.0
1.067,0.7,2.774,1.98,0.993,0.05,5.797,0.746,0.0
0.036,0.975,3.835,1.162,0.405,0.012,5.414,15.267,0.0
0.2,0.95,3.087,1.174,0.287,0.149,4.698,2.679,0.0
0.259,0.9,2.477,0.495,0.306,0.12,3.397,1.507,0.0
0.231,0.95,1.059,0.517,0.23,0.115,1.921,1.148,0.0
0.02,0.975,2.03,0.699,0.156,0.014,2.898,1.787,0.0
0.0,1.0,3.468,0.564,0.037,0.0,4.07,0.755,0.0
0.455,0.875,3.605,0.691,0.712,0.183,5.191,0.605,0.0
0.0,1.0,3.095,1.954,0.111,0.0,5.16,0.699,0.0
0.214,1.0,4.118,1.331,0.017,0.0,5.466,1.117,0.0
0.094,0.95,3.169,1.112,0.384,0.122,4.787,1.225,0.0
0.205,0.95,2.302,1.256,0.215,0.011,3.784,1.465,0.0
0.114,0.925,2.37,0.43,0.346,0.096,3.242,1.305,0.0
0.0,1.0,4.638,0.319,0.082,0.0,5.039,1.363,0.0
0.188,0.925,4.414,0.197,0.426,0.015,5.052,0.75,0.0
0.125,0.95,4.21,0.578,0.198,0.143,5.129,0.753,0.0
0.0,1.0,2.02,0.896,0.01,0.0,2.926,1.831,0.0
