mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.078,0.96,5.217,0.955,0.243,0.053,6.468,11.109,0.0
0.047,0.988,4.085,0.734,0.12,0.022,4.961,8.06,0.0
0.193,0.942,4.004,1.094,0.416,0.118,5.632,8.165,0.0
0.122,0.965,3.175,1.153,0.21,0.073,4.61,11.721,0.0
0.098,0.975,3.032,0.725,0.165,0.023,3.945,8.875,0.0
0.128,0.958,3.311,0.925,0.226,0.004,4.466,8.213,0.0
0.245,0.92,2.742,0.911,0.372,0.006,4.031,15.281,0.0
0.062,0.998,3.522,0.775,0.043,0.003,4.343,9.037,0.0
0.218,0.962,2.577,0.867,0.206,0.008,3.659,13.01,0.0
0.16,0.982,3.328,0.61,0.098,0.014,4.05,11.083,0.0
0.199,0.982,2.422,1.176,0.123,0.002,3.723,8.949,0.0
0.119,0.97,2.719,0.644,0.169,0.013,3.545,15.963,0.0
0.176,0.97,2.493,0.83,0.169,0.007,3.499,9.317,0.0
0.35,0.915,2.5,1.031,0.336,0.02,3.888,12.807,0.0
0.213,0.938,2.184,0.663,0.344,0.039,3.23,7.313,0.0
0.387,0.925,2.87,0.803,0.276,0.002,3.951,9.463,0.0
0.325,0.875,2.734,0.858,0.363,0.018,3.974,12.113,0.0
0.248,0.928,2.206,0.594,0.316,0.083,3.199,7.884,0.0
0.266,0.952,2.19,0.618,0.189,0.001,2.998,8.17,0.0
0.677,0.928,2.447,0.802,0.286,0.007,3.542,11.493,0.0
0.156,0.952,2.856,0.897,0.218,0.03,4.0,8.124,0.0
0.189,0.948,2.886,0.564,0.268,0.003,3.721,6.795,0.0
0.354,0.955,3.032,0.661,0.191,0.013,3.897,8.213,0.0
0.769,0.932,2.856,0.68,0.298,0.012,3.846,14.261,0.0
0.331,0.92,2.137,0.406,0.285,0.047,2.875,6.872,0.0
0.305,0.975,2.839,0.587,0.139,0.008,3.573,55.583,0.0
0.883,0.91,1.621,0.515,0.3,0.026,2.461,13.252,0.0
0.342,0.898,2.357,0.631,0.321,0.085,3.393,7.541,0.0
0.306,0.935,1.858,0.433,0.223,0.047,2.561,7.705,0.0
0.862,0.918,2.402,0.458,0.216,0.017,3.094,13.3,0.0
0.472,0.878,2.158,0.505,0.374,0.071,3.107,8.314,0.0
0.325,0.93,2.088,0.41,0.252,0.032,2.782,7.955,0.0
0.772,0.918,2.363,0.555,0.328,0.008,3.254,12.827,0.0
0.294,0.925,1.845,0.56,0.288,0.033,2.726,9.95,0.0
0.393,0.928,1.631,0.402,0.242,0.047,2.321,7.522,0.0
1.143,0.882,2.543,0.56,0.334,0.022,3.459,10.71,0.0
0.212,0.942,3.0,0.732,0.241,0.029,4.001,8.925,0.0
0.448,0.902,1.114,0.526,0.288,0.051,1.979,44.256,0.0
0.3,0.952,1.597,0.522,0.218,0.028,2.365,419.181,0.0
0.864,0.918,1.959,0.376,0.247,0.018,2.601,12.546,0.0
