mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.11,0.952,5.618,0.433,0.323,0.045,6.419,9.735,0.0
0.246,0.918,6.155,0.328,0.375,0.051,6.909,8.219,0.0
0.138,0.958,6.364,0.343,0.237,0.04,6.985,7.893,0.0
0.357,0.922,4.728,0.403,0.377,0.003,5.512,9.164,0.0
0.099,0.972,5.207,0.371,0.182,0.028,5.788,9.515,0.0
0.35,0.882,4.585,0.333,0.399,0.049,5.366,7.428,0.0
0.261,0.915,5.112,0.374,0.287,0.06,5.834,7.183,0.0
1.496,0.765,3.911,0.428,0.528,0.045,4.912,5.97,0.0
0.709,0.922,3.785,0.384,0.277,0.004,4.45,11.211,0.0
0.551,0.778,5.04,0.477,0.591,0.104,6.212,7.564,0.0
0.443,0.872,3.057,0.259,0.357,0.063,3.736,6.444,0.0
0.508,0.858,3.74,0.481,0.358,0.022,4.601,6.136,0.0
1.985,0.772,3.134,0.397,0.451,0.008,3.991,9.251,0.0
0.407,0.905,4.362,0.341,0.347,0.033,5.082,8.634,0.0
0.745,0.832,2.819,0.315,0.441,0.077,3.653,7.126,0.0
0.403,0.882,2.467,0.408,0.399,0.043,3.317,6.801,0.0
0.929,0.762,2.605,0.391,0.527,0.087,3.61,5.707,0.0
2.333,0.772,2.856,0.362,0.502,0.003,3.723,11.165,0.0
0.517,0.852,3.867,0.484,0.441,0.048,4.84,7.579,0.0
0.814,0.79,1.642,0.244,0.468,0.116,2.471,6.328,0.0
0.522,0.838,2.92,0.347,0.45,0.099,3.816,7.069,0.0
1.119,0.762,2.739,0.361,0.502,0.023,3.625,5.45,0.0
1.418,0.792,2.503,0.378,0.47,0.001,3.353,9.901,0.0
0.678,0.835,3.93,0.552,0.469,0.06,5.011,7.611,0.0
1.029,0.772,1.788,0.249,0.497,0.108,2.642,6.105,0.0
0.453,0.862,2.448,0.385,0.351,0.088,3.272,6.63,0.0
1.14,0.75,2.569,0.32,0.488,0.064,3.442,5.163,0.0
2.563,0.8,2.013,0.341,0.455,0.012,2.82,12.227,0.0
0.545,0.862,2.653,0.536,0.407,0.108,3.704,6.714,0.0
0.866,0.798,1.796,0.25,0.496,0.13,2.672,13.434,0.0
0.569,0.83,1.337,0.364,0.425,0.054,2.181,30.633,0.0
1.028,0.82,1.987,0.312,0.456,0.084,2.84,5.32,0.0
2.379,0.8,1.912,0.324,0.458,0.017,2.711,9.669,0.0
0.752,0.84,2.478,0.373,0.383,0.055,3.289,7.567,0.0
0.847,0.79,2.562,0.447,0.485,0.144,3.638,6.612,0.0
0.652,0.852,0.925,0.176,0.368,0.077,1.545,6.471,0.0
0.701,0.842,2.044,0.401,0.429,0.083,2.956,6.12,0.0
3.714,0.775,1.525,0.35,0.427,0.024,2.326,6.427,0.0
0.513,0.945,2.299,0.308,0.204,0.027,2.838,9.703,0.0
0.976,0.79,2.869,0.492,0.453,0.118,3.933,6.692,0.0
